Nome Anonimizado;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;RA;FASE;TURMA;Data de Nasc;IDADE_ALUNO;GÊNERO;PEDRA;INDE;ATINGIU_PV;STATUS_PEDRA;TESTE;Ano ingresso;Pedra 20;Pedra 21;Pedra 22;Pedra 23;INDE 22;INDE 23;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;FASE IDEAL;DEFASAGEM;Destaque IEG;Destaque IDA;Destaque IPV;Destaque IPV
Aluno-987;2023;Escola Pública;Escola Pública;Escola Pública;RA-987;0;S;7/26/2015;8;Masculino;Ametista;7,6765;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;9,8;6,27;6,875;;7,3;7,5;7;;;;9,76;10;ALFA (1° e 2° ano);0;;;;
Aluno-988;2023;Escola Pública;Escola Pública;Escola Pública;RA-988;0;S;05/02/2014;9;Feminino;Ametista;7,9568;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;7,9;8,1;7,52;6,25;;8,5;8,5;8,5;;;;9,84;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-989;2023;Escola Pública;Escola Pública;Escola Pública;RA-989;0;S;9/18/2014;9;Masculino;Ametista;7,7242;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;8,1;2,52;7,5;;8,3;8,7;7,8;;;;10,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-677;2023;Escola Pública;Escola Pública;Escola Pública;RA-677;0;T;4/28/2014;9;Feminino;Topázio;8,5257;MANTIDO;MANTIDO;OK;2021;;Ametista;Topázio;;8,358;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;8,2;10;6,875;;8,7;9;8,3;;;;9,84;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-990;2023;Escola Pública;Escola Pública;Escola Pública;RA-990;0;T;06/12/2014;9;Masculino;Ametista;7,254;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;8,5;7,52;7,5;;7,8;8,3;7,2;;;;10,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-991;2023;Escola Pública;Escola Pública;Escola Pública;RA-991;0;T;4/30/2014;9;Feminino;Ametista;7,7687;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;9,1;3,14;6,875;;7,7;8;7,3;;;;9,585;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-992;2023;Escola Pública;Escola Pública;Escola Pública;RA-992;0;T;12/13/2012;10;Masculino;Ametista;7,2722;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;8,2;3,14;5;;8;8,2;7,8;;;;8,84;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-703;2023;Escola Pública;Escola Pública;Escola Pública;RA-703;0;T;6/25/2012;11;Masculino;Ágata;6,2737;MANTIDO;MANTIDO;OK;2021;;Quartzo;Ágata;;6,099;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;8,4;3,14;6,875;;4,6;4,8;4,3;;;;6,16;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-993;2023;Escola Pública;Escola Pública;Escola Pública;RA-993;0;T;10/13/2015;8;Feminino;Topázio;8,7592;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,8;3,77;7,5;;8,6;8,5;8,7;;;;10,01;10;ALFA (1° e 2° ano);0;;;;
Aluno-674;2023;Escola Pública;Escola Pública;Escola Pública;RA-674;0;T;9/24/2014;9;Masculino;Ágata;6,6328;QUEDA;QUEDA;OK;2022;;;Ametista;;7,862;;;;;2;Avaliador-13;;Avaliador-3;;;;;;7,9;8,5;3,77;5;;5,2;5,3;5;;;;8,67;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-994;2023;Escola Pública;Escola Pública;Escola Pública;RA-994;0;T;12/18/2014;8;Feminino;Ametista;7,4127;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,4;3,77;5,625;;6;6,2;5,7;;;;7,265;10;ALFA (1° e 2° ano);0;;;;
Aluno-995;2023;Escola Pública;Escola Pública;Escola Pública;RA-995;0;T;04/02/2012;11;Feminino;Ágata;6,4782;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;7,9;3,77;6,25;;5,1;5,3;4,8;;;;7,18;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-996;2023;Escola Pública;Escola Pública;Escola Pública;RA-996;0;T;2/21/2014;9;Masculino;Topázio;8,1892;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;9,2;3,77;7,5;;8,6;8,7;8,5;;;;10,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-997;2023;Escola Pública;Escola Pública;Escola Pública;RA-997;0;T;4/25/2015;8;Masculino;Ametista;7,5687;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;7,5;8,7;3,77;5,625;;7,1;7,2;7;;;;8,595;10;ALFA (1° e 2° ano);0;;;;
Aluno-998;2023;Escola Pública;Escola Pública;Escola Pública;RA-998;0;U;10/20/2012;11;Feminino;Ametista;7,9752;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,3;3,77;7,5;;7,9;8;7,7;;;;9,84;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-999;2023;Escola Pública;Escola Pública;Escola Pública;RA-999;0;U;07/04/2014;9;Masculino;Topázio;8,0352;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;9,4;3,77;7,5;;8,3;8,3;8,3;;;;9,84;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-750;2023;Escola Pública;Escola Pública;Escola Pública;RA-750;0;U;03/06/2012;11;Masculino;Quartzo;5,6857;QUEDA;QUEDA;OK;2019;Ágata;Ágata;Ágata;;6,344;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;7,7;3,14;4,375;;3,4;3,3;3,5;;;;6,32;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-770;2023;Escola Pública;Escola Pública;Escola Pública;RA-770;0;U;06/07/2015;8;Masculino;Ágata;6,6785;QUEDA;QUEDA;OK;2022;;;Topázio;;8,143;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;8,3;3,77;6,875;;5,9;6;5,7;;;;8,92;10;ALFA (1° e 2° ano);0;;;;
Aluno-771;2023;Escola Pública;Escola Pública;Escola Pública;RA-771;0;U;11/05/2015;7;Feminino;Ametista;7,056;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,873;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;8,8;3,14;6,25;;8,2;8,2;8,2;;;;8,585;10;ALFA (1° e 2° ano);0;;;;
Aluno-1000;2023;Escola Pública;Escola Pública;Escola Pública;RA-1000;0;U;4/20/2015;8;Feminino;Ametista;7,9162;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;8,5;9,4;3,77;6,25;;7;7;7;;;;8,92;10;ALFA (1° e 2° ano);0;;;;
Aluno-830;2023;Escola Pública;Escola Pública;Escola Pública;RA-830;0;U;10/30/2013;9;Feminino;Ágata;6,78;QUEDA;QUEDA;OK;2022;;;Ametista;;7,234;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;8,9;3,14;6,25;;8,3;8,3;8,3;;;;9,505;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-1001;2023;Escola Pública;Escola Pública;Escola Pública;RA-1001;0;U;3/13/2014;9;Feminino;Topázio;8,1162;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;9,1;7,52;7,5;;7,8;8,3;7,3;;;;9,17;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-1002;2023;Escola Pública;Escola Pública;Escola Pública;RA-1002;0;U;7/13/2014;9;Feminino;Ametista;7,9012;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;9,7;7,52;6,25;;7;7;7;;;;8,92;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-1003;2023;Escola Pública;Escola Pública;Escola Pública;RA-1003;0;V;1/22/2015;8;Masculino;Ametista;7,6522;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;8,5;7,52;7,5;;4;8;0;;;;8,75;10;ALFA (1° e 2° ano);0;;;;
Aluno-835;2023;Escola Pública;Escola Pública;Escola Pública;RA-835;0;V;12/26/2014;8;Masculino;Topázio;8,2467;AVANÇO;AVANÇO;OK;2022;;;Ametista;;7,263;;;;;2;Avaliador-11;;Avaliador-2;;;;;;8;8,5;7,52;6,875;;8,7;8,5;8,9;;;;7,835;10;ALFA (1° e 2° ano);0;;;;
Aluno-1004;2023;Escola Pública;Escola Pública;Escola Pública;RA-1004;0;V;12/29/2014;8;Feminino;Topázio;8,3137;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;9,6;7,52;6,875;;7,9;6,5;9,2;;;;7,42;10;ALFA (1° e 2° ano);0;;;;
Aluno-1005;2023;Escola Pública;Escola Pública;Escola Pública;RA-1005;0;V;7/16/2015;8;Masculino;Topázio;8,4252;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9,5;7,9;7,52;7,5;;8,8;8,4;9,2;;;;8,165;10;ALFA (1° e 2° ano);0;;;;
Aluno-1006;2023;Escola Pública;Escola Pública;Escola Pública;RA-1006;0;V;5/24/2015;8;Feminino;Topázio;8,5922;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;9,3;7,52;7,5;;8,7;8,7;8,6;;;;8;10;ALFA (1° e 2° ano);0;;;;
Aluno-705;2023;Escola Pública;Escola Pública;Escola Pública;RA-705;0;V;10/29/2012;10;Masculino;Ágata;6,982;MANTIDO;MANTIDO;OK;2022;;;Ágata;;6,634;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;8,3;6,89;7,5;;8,8;8,9;8,6;;;;8,165;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-1007;2023;Escola Pública;Escola Pública;Escola Pública;RA-1007;0;V;01/06/2015;8;Masculino;Topázio;8,0782;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;7,4;7,52;7,5;;8,3;8,1;8,5;;;;7,68;10;ALFA (1° e 2° ano);0;;;;
Aluno-1008;2023;Escola Pública;Escola Pública;Escola Pública;RA-1008;0;V;5/22/2015;8;Masculino;Topázio;8,13595;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;8,6;7,52;5,9375;;8,4;7,5;9,2;;;;7,5;10;ALFA (1° e 2° ano);0;;;;
Aluno-729;2023;Escola Pública;Escola Pública;Escola Pública;RA-729;0;V;09/03/2014;9;Feminino;Ametista;7,26545;QUEDA;QUEDA;OK;2022;;;Topázio;;8,155;;;;;2;Avaliador-11;;Avaliador-2;;;;;;8;9,1;3,77;6,5625;;8,6;8,2;8,9;;;;7,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-1009;2023;Escola Pública;Escola Pública;Escola Pública;RA-1009;0;Y;3/27/2015;8;Masculino;Ametista;7,245;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;9;3,77;7,5;;8,8;8,3;9,2;;;;7,84;10;ALFA (1° e 2° ano);0;;;;
Aluno-1010;2023;Escola Pública;Escola Pública;Escola Pública;RA-1010;0;Y;1/14/2015;8;Masculino;Topázio;8,70645;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9,5;10;3,77;7,8125;;9,4;9;9,8;;;;8,59;10;ALFA (1° e 2° ano);0;;;;
Aluno-1011;2023;Escola Pública;Escola Pública;Escola Pública;RA-1011;0;Y;11/03/2015;7;Masculino;Ametista;7,33095;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9,5;8,6;3,77;7,1875;;5,2;5,5;4,8;;;;7,675;10;ALFA (1° e 2° ano);0;;;;
Aluno-1012;2023;Escola Pública;Escola Pública;Escola Pública;RA-1012;0;Y;5/18/2015;8;Feminino;Ametista;7,96495;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;10;9,9;3,77;7,1875;;6,6;7;6,2;;;;7,845;10;ALFA (1° e 2° ano);0;;;;
Aluno-1013;2023;Escola Pública;Escola Pública;Escola Pública;RA-1013;0;Y;12/25/2015;7;Masculino;Ametista;7,6237;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;9,6;4,39;5,625;;8,3;7;9,5;;;;5,76;10;ALFA (1° e 2° ano);0;;;;
Aluno-1014;2023;Escola Pública;Escola Pública;Escola Pública;RA-1014;0;Y;02/05/2016;7;Feminino;Topázio;8,2582;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;9,7;3,77;7,5;;8,2;7,7;8,7;;;;8,255;10;ALFA (1° e 2° ano);0;;;;
Aluno-1015;2023;Escola Pública;Escola Pública;Escola Pública;RA-1015;1;A;6/24/2013;10;Feminino;Ametista;7,538908333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;10;9,3;6,27;7,34375;;6,3;5;7,6;;;;7,786666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-734;2023;Escola Pública;Escola Pública;Escola Pública;RA-734;1;A;10/14/2012;11;Feminino;Ametista;7,305908333;QUEDA;QUEDA;OK;2022;;;Ágata;;6,952;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8,5;8;7,52;7,34375;;6,9;6,8;7;;;;7,446666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-687;2023;Escola Pública;Escola Pública;Escola Pública;RA-687;1;A;1/26/2013;10;Masculino;Ametista;7,617533333;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,703;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8;9;7,52;7,5;;6,9;6,7;7;;;;8,226666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-1016;2023;Escola Pública;Escola Pública;Escola Pública;RA-1016;1;A;3/14/2013;10;Feminino;Ametista;7,762575;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;10;9,5;7,52;7,34375;;6,7;5,8;7,5;;;;7,73;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-1017;2023;Escola Pública;Escola Pública;Escola Pública;RA-1017;1;A;10/01/2012;11;Masculino;Ágata;6,505333333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;0;8;5,02;7,5;;7,7;7;8,3;;;;8,116666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-688;2023;Escola Pública;Escola Pública;Escola Pública;RA-688;1;A;8/20/2013;10;Masculino;Topázio;8,0442;AVANÇO;AVANÇO;OK;2022;;;Ametista;;7,771;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8,5;9,3;7,52;7,5;;8,6;8,2;9;;;;8,06;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-1018;2023;Escola Pública;Escola Pública;Escola Pública;RA-1018;1;A;12/10/2013;9;Masculino;Ágata;6,824;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;0;8,5;5,02;7,5;;6,3;5,8;6,8;;;;8,06;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-696;2023;Escola Pública;Escola Pública;Escola Pública;RA-696;1;A;12/05/2013;9;Feminino;Ametista;7,172666667;MANTIDO;MANTIDO;OK;2021;;Ametista;Ametista;;7,441;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;0;9,4;5,02;7,5;;6,7;5,2;8,2;;;;8,503333333;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-1019;2023;Escola Pública;Escola Pública;Escola Pública;RA-1019;1;A;3/23/2015;8;Feminino;Ametista;7,177033333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;7,5;9,1;5,02;6,875;;4,3;0,5;8;;;;7,836666667;10;ALFA (1° e 2° ano);1;;;;
Aluno-514;2023;Escola Pública;Escola Pública;Escola Pública;RA-514;1;A;05/05/2013;10;Feminino;Quartzo;5,823133333;QUEDA;QUEDA;OK;2022;;;Ametista;;7,039;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;7,9;7,5;2,52;5;;5,5;4,2;6,8;;;;5,896666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-1020;2023;Escola Pública;Escola Pública;Escola Pública;RA-1020;1;A;7/25/2014;9;Feminino;Ametista;7,612283333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;10;9,1;2,52;7,1875;;6,1;4,3;7,8;;;;8,056666667;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-1021;2023;Escola Pública;Escola Pública;Escola Pública;RA-1021;1;A;03/10/2014;9;Masculino;Ágata;6,964616667;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8;9,2;3,77;7,1875;;3,3;2,5;4;;;;7,893333333;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-1022;2023;Escola Pública;Escola Pública;Escola Pública;RA-1022;1;A;2/25/2014;9;Masculino;Ametista;7,164616667;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8,5;8,5;3,77;7,1875;;4,7;4,7;4,7;;;;7,893333333;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-1023;2023;Escola Pública;Escola Pública;Escola Pública;RA-1023;1;A;05/06/2014;9;Feminino;Topázio;9,1342;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;10;10;6,27;8,75;;9,1;8,5;9,7;;;;9,06;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-699;2023;Escola Pública;Escola Pública;Escola Pública;RA-699;1;A;7/13/2013;10;Masculino;Ágata;6,389991667;MANTIDO;MANTIDO;OK;2022;;;Ágata;;6,658;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8,5;8,3;3,77;5,78125;;6;5,7;6,2;;;;6,173333333;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-480;2023;Escola Pública;Escola Pública;Escola Pública;RA-480;1;B;10/20/2012;11;Feminino;Topázio;8,226408333;AVANÇO;AVANÇO;OK;2021;;Ametista;Ametista;;7,502;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;10;9,7;7,52;7,96875;;7,9;7,2;8,5;;;;8,336666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-678;2023;Escola Pública;Escola Pública;Escola Pública;RA-678;1;B;3/20/2013;10;Masculino;Ametista;7,570158333;MANTIDO;MANTIDO;OK;2022;;;Ametista;;8;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8;8,8;6,27;7,65625;;7,3;6,8;7,7;;;;8,336666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-1024;2023;Escola Pública;Escola Pública;Escola Pública;RA-1024;1;B;5/17/2013;10;Feminino;Ametista;7,788875;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;0;10;6,27;9,21875;;9,8;10;9,5;;;;8,95;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-502;2023;Privada - Programa de apadrinhamento;Escola Privada;Escola Privada;RA-502;1;B;5/24/2014;9;Feminino;Topázio;8,749075;MANTIDO;MANTIDO;OK;2021;;Topázio;Topázio;;8,287;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8,5;9,8;7,52;7,96875;;8;6,7;9,3;;;;8,95;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-1025;2023;Escola Pública;Escola Pública;Escola Pública;RA-1025;1;B;12/18/2013;9;Masculino;Topázio;8,215158333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8,5;8,9;7,52;7,65625;;7,5;7,5;7,5;;;;7,836666667;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-680;2023;Escola Pública;Escola Pública;Escola Pública;RA-680;1;B;02/05/2012;11;Feminino;Ágata;6,5855;QUEDA;QUEDA;OK;2019;Ametista;Ametista;Ametista;;7,518;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;0;9,1;7,52;6,875;;6,4;5,2;7,5;;;;7,78;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-1026;2023;Escola Pública;Escola Pública;Escola Pública;RA-1026;1;B;06/11/2009;14;Feminino;Ágata;6,494825;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8,5;9,8;7,52;6,40625;;3,2;2,3;4;;;;7,06;2,5;Fase 4 (9° ano);-3;;;;
Aluno-698;2023;Escola Pública;Escola Pública;Escola Pública;RA-698;1;B;12/20/2013;9;Masculino;Ametista;7,553616667;MANTIDO;MANTIDO;OK;2021;;Ametista;Ametista;;7,44;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8,5;9,9;2,52;7,1875;;5,7;4,3;7;;;;8,113333333;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-533;2023;Escola Pública;Escola Pública;Escola Pública;RA-533;1;B;03/10/2012;11;Masculino;Ametista;7,434866667;QUEDA;QUEDA;OK;2022;;;Ágata;;6,962;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;9;9,3;7,52;7,5;;5,8;4,8;6,7;;;;7,613333333;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-504;2023;Escola Pública;Escola Pública;Escola Pública;RA-504;1;B;11/18/2013;9;Feminino;Topázio;8,299533333;MANTIDO;MANTIDO;OK;2021;;Topázio;Topázio;;8,072;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8;8,3;7,52;7,5;;7,9;6,5;9,2;;;;8,836666667;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-1027;2023;Escola Pública;Escola Pública;Escola Pública;RA-1027;1;B;4/25/2013;10;Feminino;Ametista;7,748866667;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;9,5;9,7;7,52;7,5;;6;4,2;7,7;;;;8,333333333;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-529;2023;Escola Pública;Escola Pública;Escola Pública;RA-529;1;B;07/01/2010;13;Masculino;Ametista;7,278991667;AVANÇO;AVANÇO;OK;2020;Ágata;Ametista;Ágata;;6,51;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8;9,6;7,52;5,78125;;6,8;4,8;8,7;;;;6,893333333;5;Fase 3 (7° e 8° ano);-2;;;;
Aluno-1028;2023;Escola Pública;Escola Pública;Escola Pública;RA-1028;1;B;2/17/2012;11;Masculino;Ágata;6,415708333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;0;9,2;7,52;7,34375;;5;5;5;;;;7,946666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-686;2023;Escola Pública;Escola Pública;Escola Pública;RA-686;1;C;4/19/2013;10;Feminino;Ametista;7,9642;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,729;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8,5;9;7,52;7,5;;8;7,3;8,7;;;;8,56;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-1029;2023;Escola Pública;Escola Pública;Escola Pública;RA-1029;1;C;2/22/2014;9;Feminino;Ametista;7,058533333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;10;6,3;3,77;7,5;;5,4;3,5;7,2;;;;8,006666667;10;Fase 1 (3° e 4° ano);0;;;;
Aluno-1030;2023;Escola Pública;Escola Pública;Escola Pública;RA-1030;1;C;08/10/2012;11;Masculino;Ametista;7,4027;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8,5;9,7;3,77;6,875;;6,9;6,2;7,5;;;;8,39;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-522;2023;Escola Pública;Escola Pública;Escola Pública;RA-522;1;C;01/08/2013;10;Masculino;Ametista;7,890533333;QUEDA;QUEDA;OK;2021;;Topázio;Topázio;;8,306;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;7,5;9,2;7,52;7,083333333;;8,3;8,3;8,2;;;;8,45;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-501;2023;Escola Pública;Escola Pública;Escola Pública;RA-501;1;C;10/20/2013;10;Masculino;Topázio;8,1357;AVANÇO;AVANÇO;OK;2021;;Topázio;Ametista;;7,794;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;7;8,4;7,52;8,541666667;;8,9;9,2;8,5;;;;9,396666667;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-692;2023;Privada;Escola Privada;Escola Privada;RA-692;1;C;2/26/2013;10;Feminino;Ágata;6,588466667;QUEDA;QUEDA;OK;2021;;Ametista;Ametista;;7,569;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;7,4;7,7;7,52;6,666666667;;4,6;2,8;6,3;;;;7,39;5;Fase 2 (5° e 6° ano);-1;;;;
Aluno-527;2023;Escola Pública;Escola Pública;Escola Pública;RA-527;1;C;02/03/2013;10;Feminino;Ametista;7,5682;MANTIDO;MANTIDO;OK;2022;;;Ametista;;8,025;;;;;3;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;9;9,1;7,52;7,5;;6,5;5,7;7,2;;;;7,78;5;Fase 2 (5° e 6° ano);-1;;;;
