NOME;ANO;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;IDADE_ALUNO;GÊNERO;PEDRA;INDE;IAA;IEG;IPS;IPP;IDA;IPV;IAN
Aluno-75;2022;Escola Pública;5;F;16;Menina;Quartzo;3,915;5,4;3,8;6,3;5,62;0;4,625;5
Aluno-750;2022;Escola Pública;0;K;10;Menino;Ágata;6,344;9,5;8,9;4,4;6,46;6,8;5,167;5
Aluno-751;2022;Escola Pública;0;K;11;Menino;Quartzo;5,246;8,5;5,8;7,5;4,79;3,8;6,167;5
Aluno-752;2022;Escola Pública;0;K;11;Menina;Topázio;8,197;10;9;7,5;6,25;9,5;8,417;5
Aluno-753;2022;Escola Pública;0;K;8;Menina;Topázio;8,481;9,5;8,6;7,5;5,62;9,1;8,417;10
Aluno-754;2022;Escola Pública;0;K;9;Menino;Ágata;6,602;10;5,8;4,4;6,04;7,9;6,917;5
Aluno-755;2022;Escola Pública;0;K;8;Menino;Topázio;8,566;9,5;9,2;6,9;5,62;9,5;8,083;10
Aluno-756;2022;Escola Pública;0;K;9;Menino;Ágata;6,976;10;7,9;7,5;5,31;5,7;7,25;5
Aluno-757;2022;Escola Pública;0;K;9;Menina;Topázio;8,26;9,5;9,3;7,5;6,67;9,7;8,5;5
Aluno-758;2022;Escola Pública;0;L;9;Menino;Ametista;7,911;9;9,1;7,5;6,46;8,1;8,333;5
Aluno-759;2022;Escola Pública;0;L;10;Menina;Ametista;7,563;9;8,6;7,5;7,66;7,5;7,833;5
Aluno-76;2022;Escola Privada;5;F;15;Menina;Topázio;9,105;10;9,1;8,1;8,75;8,7;9,292;10
Aluno-760;2022;Escola Pública;0;L;11;Menino;Topázio;8,172;9;9,2;7,5;6,56;8,8;8,917;5
Aluno-761;2022;Escola Pública;0;L;9;Menino;Topázio;8,06;10;9,4;7,5;8,12;8,2;8,25;5
Aluno-762;2022;Escola Pública;0;L;12;Menino;Ametista;7,28;10;9,7;7,5;5,62;6,7;7,083;2,5
Aluno-763;2022;Escola Pública;0;L;10;Menina;Ametista;7,402;9,5;9,7;7,5;6,46;6,5;7,167;5
Aluno-764;2022;Escola Pública;0;L;8;Menino;Ametista;8,004;9;8,8;7,5;5,62;7,5;7,667;10
Aluno-765;2022;Escola Pública;0;L;9;Menino;Ágata;6,902;8,5;9,3;7,5;8,28;4,3;7,417;5
Aluno-766;2022;Escola Pública;0;L;11;Menina;Topázio;8,185;10;9,5;7,5;6,88;8,7;8,333;5
Aluno-767;2022;Escola Pública;0;L;10;Menino;Ametista;7,511;9,5;9;7,5;5,62;7;7,583;5
Aluno-768;2022;Escola Pública;0;L;10;Menina;Ametista;7,646;9;10;7,5;5,62;7,1;7,583;5
Aluno-769;2022;Escola Pública;0;M;9;Menina;Ametista;7,598;10;7,5;7,5;6,67;7,9;8,5;5
Aluno-77;2022;Escola Pública;5;F;16;Menino;Quartzo;3,846;7,1;2,7;5;5,31;0,7;4,625;5
Aluno-770;2022;Escola Pública;0;M;7;Menino;Topázio;8,143;9,5;8,9;7,5;6,46;8,3;7,333;10
Aluno-771;2022;Escola Pública;0;M;7;Menina;Ametista;7,873;10;8,3;7,5;6,88;7;7,5;10
Aluno-772;2022;Escola Pública;0;M;11;Menino;Ágata;6,994;9;5,4;7,5;4,69;9,2;7,25;5
Aluno-773;2022;Escola Pública;0;M;9;Menina;Ágata;6,922;10;6,8;5;5,62;8,1;7,083;5
Aluno-774;2022;Escola Pública;0;M;8;Menina;Ametista;7,587;10;7,8;7,5;6,04;6,1;7,417;10
Aluno-775;2022;Escola Pública;0;N;10;Menino;Quartzo;5,79;7,9;5,7;4,4;5;5,7;6,417;5
Aluno-776;2022;Escola Pública;0;N;9;Menina;Quartzo;3,898;0;4,3;4,4;5;1,7;6,333;5
Aluno-777;2022;Escola Pública;0;N;8;Menino;Ametista;7,096;8;7,7;7,5;7,34;5,3;7;10
Aluno-778;2022;Escola Pública;0;N;9;Menina;Ametista;7,432;10;6,7;7,5;7,5;7,1;8,833;5
Aluno-779;2022;Escola Pública;0;N;10;Menino;Quartzo;5,702;9,5;5;7,5;5,62;2,6;7,083;5
Aluno-78;2022;Escola Privada;5;F;17;Menino;Ametista;7,04;8,3;6,6;5,6;6,25;7,2;8;5
Aluno-780;2022;Escola Pública;0;N;9;Menina;Ágata;6,955;8;7,6;7,5;6,46;6,9;7,167;5
Aluno-781;2022;Escola Pública;0;N;9;Menina;Ametista;7,786;10;8,9;7,5;5,62;8,3;7,75;5
Aluno-782;2022;Escola Pública;0;N;8;Menino;Ametista;7,485;9,5;8,4;7,5;6,25;6;7;10
Aluno-783;2022;Escola Pública;0;N;8;Menino;Ágata;6,996;9,5;5,8;7,5;5,62;6;6,917;10
Aluno-784;2022;Escola Pública;0;O;9;Menino;Topázio;8,34;9,5;10;7,5;6,25;8,2;9,25;5
Aluno-785;2022;Escola Pública;0;O;9;Menina;Ametista;7,642;9;8,6;7,5;6,04;8,4;7,667;5
Aluno-786;2022;Escola Pública;0;O;11;Menino;Ágata;7,004;9;9,5;5,6;5,62;6,1;7,167;5
Aluno-787;2022;Escola Pública;0;O;8;Menino;Ametista;7,205;8,5;9,5;7,5;6,88;3,4;7,25;10
Aluno-788;2022;Escola Privada;0;O;8;Menino;Topázio;8,264;10;9,3;5,6;5,62;8;8,667;10
Aluno-789;2022;Escola Pública;0;O;7;Menina;Ametista;7,405;9;9,4;7,5;5;4,2;7,417;10
Aluno-79;2022;Escola Privada;5;F;16;Menina;Ágata;6,847;5,4;6,3;5,6;7,97;8,9;7,292;5
Aluno-790;2022;Escola Pública;0;O;11;Menina;Ametista;7,504;9;8,9;7,5;6,25;7,8;7,417;5
Aluno-791;2022;Escola Pública;0;O;11;Menina;Ametista;7,507;9,5;8,7;7,5;5,94;6,5;8,5;5
Aluno-792;2022;Escola Pública;0;O;9;Menina;Ágata;7,025;9,5;8;7,5;7,97;6,2;7,167;5
Aluno-793;2022;Escola Pública;0;O;10;Menino;Ágata;6,894;9,5;7,6;7,5;7,5;6;7,333;5
Aluno-794;2022;Escola Pública;0;O;8;Menina;Ametista;7,335;9,5;8,9;7,5;7,5;4,1;7,333;10
Aluno-795;2022;Escola Pública;0;O;8;Menina;Topázio;8,064;9;9,7;7,5;5,62;7,3;7,333;10
Aluno-796;2022;Escola Pública;0;Q;10;Menina;Ametista;7,232;9,5;9,3;7,5;5,62;5,4;7,667;5
Aluno-797;2022;Escola Pública;0;Q;10;Menino;Ametista;7,217;9;8,5;7,5;5,62;7,3;7,5;5
Aluno-798;2022;Escola Pública;0;Q;10;Menino;Ametista;7,049;8;8,3;7,5;5,62;6,3;7,667;5
Aluno-799;2022;Escola Pública;0;Q;10;Menina;Ametista;7,676;8;9,6;7,5;6,04;7,8;7,917;5
Aluno-8;2022;Escola Pública;7;A;20;Menina;Quartzo;4,786;7,1;4,6;6,3;4,53;1,6;6,278;5
Aluno-80;2022;Escola Privada;5;K;16;Menina;Ametista;7,29;9,2;8,3;5;5,62;7,1;7,625;5
Aluno-800;2022;Escola Pública;0;Q;8;Menino;Ágata;6,818;8;5,4;7,5;5,62;6,1;7,5;10
Aluno-801;2022;Escola Pública;0;Q;9;Menino;Ágata;6,644;7;6,6;7,5;5,31;6,8;7,5;5
Aluno-802;2022;Escola Pública;0;Q;9;Menino;Ametista;7,831;9;9;7,5;6,04;8,3;8,333;5
Aluno-803;2022;Escola Pública;0;Q;10;Menina;Ágata;6,98;10;7,2;7,5;5,62;6,3;7,417;5
Aluno-804;2022;Escola Pública;0;Q;10;Menino;Ágata;6,848;10;8,4;6,3;7,5;4,8;7,667;5
Aluno-805;2022;Escola Pública;0;R;8;Menino;Topázio;8,279;9,5;9;7,5;8,44;8,8;7,333;10
Aluno-806;2022;Escola Pública;0;R;8;Menino;Ametista;7,561;9,5;7,3;7,5;7,5;6,6;7,917;10
Aluno-807;2022;Escola Pública;0;R;8;Menino;Topázio;8,121;9,5;8,7;6,3;6,67;9;7,5;10
Aluno-808;2022;Escola Pública;0;R;8;Menino;Topázio;8,361;10;9,1;6,3;4,69;9,3;8;10
Aluno-809;2022;Escola Pública;0;R;7;Menino;Ametista;7,259;10;6,6;6,3;5,62;6,3;7,417;10
Aluno-81;2022;Escola Privada;5;K;14;Menina;Ametista;7,675;9,2;9,2;5;5,62;6;7,458;10
Aluno-810;2022;Escola Pública;0;R;8;Menino;Ametista;7,887;8,5;9,1;5;3,44;9,6;7,25;10
Aluno-811;2022;Escola Pública;0;R;9;Menina;Ágata;6,575;8,9;5,7;5,6;5;7,3;7,667;5
Aluno-812;2022;Escola Pública;0;R;8;Menino;Ametista;7,497;9;8,1;5,6;4,69;7,4;7,333;10
Aluno-813;2022;Escola Pública;0;S;8;Menino;Ametista;7,093;9,5;6,5;6,9;5,83;6;7,417;10
Aluno-814;2022;Escola Pública;0;S;9;Menino;Ametista;7,592;8,9;9;6,9;5,62;7,5;8,417;5
Aluno-815;2022;Escola Pública;0;S;9;Menino;Ágata;6,81;10;7,9;5,6;7,03;6,5;7;5
Aluno-816;2022;Escola Pública;0;S;9;Menina;Topázio;8,513;10;9,3;7,5;8,44;9,6;9,417;5
Aluno-817;2022;Escola Pública;0;S;8;Menina;Ametista;7,819;10;8,7;6,3;7,81;7,1;7,417;10
Aluno-818;2022;Escola Pública;0;S;7;Menino;Ametista;7,483;9,5;7,3;7,5;5,94;6,2;7,5;10
Aluno-819;2022;Escola Pública;0;S;8;Menino;Ametista;7,741;10;7,9;7,5;5,62;7,3;7,333;10
Aluno-82;2022;Escola Pública;5;K;17;Menina;Ágata;6,596;8,8;6,8;7,5;5,31;5,5;6,417;5
Aluno-820;2022;Escola Pública;0;T;9;Menino;Ametista;7,417;9,5;10;6,9;4,06;6;7,583;5
Aluno-821;2022;Escola Pública;0;T;10;Menino;Ágata;6,342;9;7;7,5;5;4,6;6,917;5
Aluno-822;2022;Escola Pública;0;T;10;Menino;Ágata;6,922;8;8,4;7,5;5,31;6,1;7,083;5
Aluno-823;2022;Escola Pública;0;T;10;Menina;Quartzo;5,989;10;6;7,5;5,31;2,8;7,167;5
Aluno-824;2022;Escola Pública;0;T;8;Menino;Ágata;6,799;10;4,4;6,9;6,41;6;7,333;10
Aluno-825;2022;Escola Pública;0;T;9;Menina;Ametista;7,25;7,5;8,2;6,9;5,62;7,6;7,917;5
Aluno-826;2022;Escola Pública;0;U;8;Menino;Ametista;7,776;9,5;9,6;7,5;6,04;5,4;7,5;10
Aluno-827;2022;Escola Pública;0;U;10;Menina;Ametista;7,412;9,5;7;7,5;5,62;7,6;8,667;5
Aluno-828;2022;Escola Pública;0;U;9;Menina;Ametista;7,139;9,5;7,1;7,5;6,25;6,9;7,833;5
Aluno-829;2022;Escola Pública;0;U;8;Menina;Ametista;8,003;9;8,6;7,5;5,62;7,8;7,5;10
Aluno-83;2022;Escola Pública;5;K;17;Menina;Ágata;6,671;7,9;6,8;7,5;4,38;6,8;5,958;5
Aluno-830;2022;Escola Pública;0;U;9;Menina;Ametista;7,234;10;8,6;7,5;5,62;6;7,5;5
Aluno-831;2022;Escola Pública;0;U;9;Menino;Ametista;7,41;9,5;9,2;7,5;7,66;7,2;7,167;5
Aluno-832;2022;Escola Pública;0;U;9;Menino;Topázio;8,179;10;9,2;7,5;8,28;8,8;8,833;5
Aluno-833;2022;Escola Pública;0;U;9;Menino;Ametista;7,791;10;9,5;7,5;5,62;7,8;7,583;5
Aluno-834;2022;Escola Pública;0;U;9;Menino;Topázio;8,136;9;9;7,5;6,04;9;9,083;5
Aluno-835;2022;Escola Pública;0;V;8;Menino;Ametista;7,263;6,9;7,3;7,5;6,04;7,5;6,667;10
Aluno-836;2022;Escola Pública;0;V;9;Menino;Ametista;7,665;8,5;8,3;7,5;5,62;9,2;7,583;5
Aluno-837;2022;Escola Pública;0;V;8;Menino;Topázio;8,207;8,5;9;7,5;5,62;8,8;7,5;10
Aluno-838;2022;Escola Pública;0;V;9;Menino;Ametista;7,461;10;7,4;7,5;5,83;6,3;9,417;5
Aluno-839;2022;Escola Pública;0;V;9;Menina;Quartzo;5,198;0;5,1;7,5;7,5;5,4;6,583;5
Aluno-84;2022;Escola Privada;5;K;17;Menina;Ágata;6,682;7,1;8,8;5;5,62;5,8;6,75;5
Aluno-840;2022;Escola Pública;0;V;8;Menino;Ametista;7,875;9;8,2;7,5;8,12;7,8;7,5;10
Aluno-841;2022;Escola Pública;0;V;11;Menino;Ametista;7,3;8,5;8,5;7,5;8,12;7,2;7,5;5
Aluno-842;2022;Escola Pública;0;Y;8;Menina;Ametista;7,952;7,5;8,3;7,5;5,83;9,1;8,25;10
Aluno-843;2022;Escola Pública;0;Y;8;Menina;Topázio;8,538;8,5;9;7,5;6,25;9,2;8,417;10
Aluno-844;2022;Escola Pública;0;Y;8;Menino;Ágata;6,253;0;5;8,1;6,04;5,9;8,333;10
Aluno-845;2022;Escola Pública;0;Y;8;Menina;Topázio;8,491;10;8,8;7,5;5,62;8,7;8,417;10
Aluno-846;2022;Escola Pública;0;Y;7;Menina;Ametista;7,412;9;7,2;7,5;5,62;5,9;7,917;10
Aluno-847;2022;Escola Pública;0;Y;9;Menino;Ágata;6,839;7,9;8,2;4,4;4,38;7,7;7,417;5
Aluno-848;2022;Escola Pública;0;Y;9;Menino;Ametista;7,488;9,5;7;7,5;5,31;9;7,833;5
Aluno-849;2022;Escola Pública;0;Y;9;Menino;Ametista;7,369;8,5;8,3;7,5;5,83;9,1;7,417;5
Aluno-85;2022;Escola Pública;5;K;15;Menino;Ágata;6,243;6,7;7,3;5;7,19;4,3;5,833;10
Aluno-850;2022;Escola Pública;0;Y;8;Menino;Ametista;7,641;10;7,3;7,5;3,12;8,5;7,167;10
Aluno-851;2022;Escola Pública;0;Y;8;Menino;Ametista;7,515;9;7,9;7,5;6,04;8,3;6,583;10
Aluno-852;2022;Escola Pública;0;Z;7;Menina;Quartzo;5,666;9;6,8;5;6,25;2,1;5,5;10
Aluno-853;2022;Escola Pública;0;Z;8;Menina;Topázio;8,616;10;9,6;7,5;9,06;8,5;8,5;10
Aluno-854;2022;Escola Pública;0;Z;8;Menina;Topázio;8,098;8;9;7,5;6,25;9,3;7,167;10
Aluno-855;2022;Escola Pública;0;Z;9;Menina;Topázio;8,453;10;9,6;7,5;5,62;9,7;9;5
Aluno-856;2022;Escola Pública;0;Z;7;Menino;Topázio;8,398;10;9,1;7,5;6,04;8,4;8;10
Aluno-857;2022;Escola Pública;0;Z;9;Menina;Topázio;8,154;8,5;8,9;7,5;8,59;9,5;9,083;5
Aluno-858;2022;Escola Pública;0;Z;7;Menino;Ametista;7,523;10;7,1;5,6;3,12;7,7;7,333;10
Aluno-859;2022;Escola Pública;0;Z;7;Menina;Topázio;8,325;8,5;8,7;7,5;6,56;8,9;8,25;10
Aluno-86;2022;Escola Privada;5;K;16;Menino;Ametista;7,566;7,5;9,6;5,6;5,62;6,7;8,458;5
Aluno-860;2022;Escola Pública;0;Z;7;Menino;Topázio;8,136;9,5;8,5;7,5;5,62;8,1;7,75;10
Aluno-87;2022;Escola Privada;5;K;15;Menino;Topázio;8,712;8,3;9,6;7,5;7,5;8,8;8,5;10
Aluno-88;2022;Escola Pública;5;K;17;Menino;Ametista;7,498;7,1;9,2;5,6;6,46;6,5;9,208;5
Aluno-89;2022;Escola Pública;5;K;16;Menino;Ametista;7,323;9,6;7,8;7,5;7,66;5,9;8;5
Aluno-9;2022;Escola Pública;7;A;18;Menina;Topázio;8,109;8,8;9,5;7,5;8,12;6,7;9,5;5
Aluno-90;2022;Escola Privada;5;L;13;Menina;Topázio;9,442;10;9,7;9,4;9,22;8,5;9,75;10
Aluno-91;2022;Escola Privada;5;L;16;Menina;Ágata;6,645;9,2;5,7;5,6;7,97;6,6;7,125;5
Aluno-92;2022;Escola Privada;5;L;16;Menina;Ágata;6,957;9,2;7,1;5;5,62;7,4;6,667;5
Aluno-93;2022;Escola Privada;5;L;15;Menina;Topázio;8,941;8,3;9,7;8,1;8,44;8,5;9,083;10
Aluno-94;2022;Escola Privada;5;L;15;Menina;Topázio;8,921;8,3;9,6;8,1;8,91;7,7;9,583;10
Aluno-95;2022;Escola Pública;5;L;17;Menina;Ágata;6,308;8,3;6,6;7,5;4,38;4,8;6,292;5
Aluno-96;2022;Escola Pública;5;L;16;Menino;Ametista;7,54;9,2;7,8;6,9;7,5;6,7;8,5;5
Aluno-97;2022;Escola Privada;5;L;15;Menina;Ametista;7,468;7,5;8,8;5;8,12;6,9;6,292;10
Aluno-98;2022;Escola Privada;5;L;15;Menina;Topázio;9,354;8,8;10;9,4;9,06;8,5;9,667;10
Aluno-99;2022;Escola Pública;5;L;16;Menino;Ágata;6,158;8,8;6,3;7,5;6,25;5;5,833;5
Aluno-861;2023;Escola Pública;0;A;8;Feminino;Topázio;9,31095;9,5;10;8,13;8,4375;9,6;8,92;10
Aluno-862;2023;Escola Pública;0;A;9;Masculino;Topázio;8,2212;8,5;9,1;8,14;7,5;8,9;8,585;5
Aluno-863;2023;Escola Pública;0;A;7;Masculino;Quartzo;5,92975;0;7,6;3,14;5,9375;6,3;6,26;10
Aluno-864;2023;Escola Pública;0;A;8;Feminino;Ametista;7,034;0;7,6;8,14;7,5;6,3;8,5;10
Aluno-865;2023;Escola Pública;0;A;8;Masculino;Topázio;8,1552;8,5;8,7;7,52;7,5;7,4;7,915;10
Aluno-866;2023;Escola Pública;0;A;7;Feminino;Ametista;7,679;0;8,3;8,76;7,5;8,6;8,415;10
Aluno-867;2023;Escola Pública;0;A;8;Masculino;Topázio;8,6992;9;8,6;8,76;7,5;8,9;8,415;10
Aluno-868;2023;Escola Pública;0;A;7;Masculino;Topázio;8,63895;10;9,5;8,76;7,1875;7,1;8,67;10
Aluno-869;2023;Escola Pública;0;A;8;Feminino;Topázio;9,2587;9;10;8,76;8,125;9,6;8,75;10
Aluno-870;2023;Escola Pública;0;A;9;Feminino;Quartzo;4,909;0;8,5;8,76;5;1,5;5,165;5
Aluno-871;2023;Escola Pública;0;B;9;Masculino;Ágata;6,8617;9;9,5;3,76;4,375;6,9;6,84;5
Aluno-872;2023;Escola Pública;0;B;10;Feminino;Quartzo;5,267;0;6,7;2,52;6,25;4,3;8,5;5
Aluno-873;2023;Escola Pública;0;B;11;Feminino;Ametista;7,8012;8,5;9,7;7,52;6,25;7;8,67;5
Aluno-874;2023;Escola Pública;0;B;9;Masculino;Quartzo;5,811;0;8,2;7,52;6,25;4,8;6,67;5
Aluno-875;2023;Escola Pública;0;B;9;Masculino;Topázio;8,2712;9,5;9,5;7,52;7,5;7,3;9,845;5
Aluno-876;2023;Escola Pública;0;B;8;Masculino;Topázio;8,6492;10;9,4;7,52;7,5;7,5;8,835;10
Aluno-877;2023;Escola Pública;0;B;9;Masculino;Ametista;7,4722;9,5;9,5;7,52;5;6,9;7,5;5
Aluno-878;2023;Escola Pública;0;B;10;Masculino;Ágata;6,24;0;9,5;2,52;5;8,1;7,34;5
Aluno-879;2023;Escola Pública;0;B;9;Feminino;Ágata;6,8225;0;9,8;2,52;6,875;8,2;8,915;5
Aluno-880;2023;Escola Pública;0;B;7;Feminino;Ágata;6,724;0;9,4;2,52;6,25;6,3;8,585;10
Aluno-881;2023;Escola Pública;0;B;8;Masculino;Ametista;7,7322;10;8,9;7,52;5;7,3;6,25;10
Aluno-882;2023;Escola Pública;0;C;8;Feminino;Ágata;6,0092;9;8,6;2,52;3,75;4,7;4,16;10
Aluno-883;2023;Escola Pública;0;C;8;Feminino;Topázio;8,5082;9,5;9,7;6,89;6,25;8,4;8,17;10
Aluno-884;2023;Escola Pública;0;C;7;Feminino;Topázio;8,4587;9;9,7;4,39;6,875;8,8;8,66;10
Aluno-885;2023;Escola Pública;0;C;7;Masculino;Topázio;8,8252;9;9,8;7,52;7,5;8,7;8,665;10
Aluno-886;2023;Escola Pública;0;C;7;Feminino;Topázio;8,6422;8,5;9,4;7,52;7,5;8,1;9;10
Aluno-887;2023;Escola Pública;0;C;8;Masculino;Topázio;8,6718;8,9;8,9;7,52;7,5;8,4;9,09;10
Aluno-888;2023;Escola Pública;0;C;7;Masculino;Topázio;8,9182;9;10;7,52;7,5;8,8;8,83;10
Aluno-889;2023;Escola Pública;0;C;8;Masculino;Topázio;8,8092;8,5;9,5;6,89;7,5;9,1;9;10
Aluno-890;2023;Escola Pública;0;C;8;Masculino;Ágata;6,989;0;9,1;2,52;6,25;8,3;8,16;10
Aluno-891;2023;Escola Pública;0;C;9;Feminino;Ametista;7,8882;9,5;9,5;6,89;7,5;7,5;7,995;5
Aluno-684;2023;Escola Privada;0;D;8;Masculino;Ametista;7,4277;9;8,1;7,52;6,875;6,5;5,84;10
Aluno-892;2023;Escola Pública;0;D;8;Masculino;Topázio;8,8112;8;9,6;6,89;7,5;8,3;10,01;10
Aluno-857;2023;Escola Pública;0;D;9;Feminino;Topázio;8,1442;8,5;9;7,52;7,5;8,5;9,01;5
Aluno-893;2023;Escola Pública;0;D;9;Masculino;Topázio;8,8042;9,5;10;7,52;7,5;9,3;10,01;5
Aluno-894;2023;Escola Pública;0;D;9;Feminino;Topázio;8,8142;9,5;9,9;7,52;7,5;9,4;10,01;5
Aluno-690;2023;Escola Pública;0;D;10;Feminino;Topázio;8,6112;9;9,8;6,89;7,5;9,1;10,01;5
Aluno-895;2023;Escola Pública;0;D;8;Feminino;Topázio;8,5397;9,5;9,5;7,52;6,875;6,8;9,5;10
Aluno-896;2023;Escola Pública;0;D;7;Masculino;Topázio;9,0912;9,5;10;6,89;7,5;8,5;10,01;10
Aluno-693;2023;Escola Pública;0;D;8;Feminino;Topázio;9,0112;10;9,4;6,89;7,5;8,5;10,01;10
Aluno-675;2023;Escola Pública;0;D;8;Masculino;Topázio;8,3577;10;8;7,52;6,875;8,3;8,34;10
Aluno-850;2023;Escola Pública;0;D;9;Masculino;Ágata;6,06525;0;7,9;6,26;6,5625;7,3;6,265;5
Aluno-897;2023;Escola Pública;0;D;9;Masculino;Quartzo;5,48225;0;8,1;7,52;6,5625;6,5;3,32;5
Aluno-842;2023;Escola Pública;0;E;9;Feminino;Ametista;7,2117;9;8,5;3,77;5,625;7,9;8,01;5
Aluno-898;2023;Escola Pública;0;E;9;Masculino;Topázio;8,4217;9;9,8;3,77;8,125;9,4;10,01;5
Aluno-899;2023;Escola Pública;0;E;8;Masculino;Topázio;8,8452;10;9,8;3,77;7,5;9,5;9,34;10
Aluno-900;2023;Escola Pública;0;E;8;Feminino;Topázio;8,8947;9;9,8;9,38;8,125;7,8;8,67;10
Aluno-846;2023;Escola Pública;0;E;8;Feminino;Ametista;7,4637;9,5;8,2;3,77;5,625;6;8,67;10
Aluno-901;2023;Escola Pública;0;E;10;Masculino;Ametista;7,3112;8,5;8,7;3,77;6,25;7,5;8,595;5
Aluno-743;2023;Escola Pública;0;E;10;Feminino;Ágata;6,659;0;9,1;3,77;7,5;7,1;9,01;5
Aluno-681;2023;Escola Pública;0;E;10;Masculino;Ágata;6,2955;0;7,8;3,77;5,625;8,3;8,18;5
Aluno-902;2023;Escola Pública;0;E;12;Masculino;Quartzo;5,97345;10;9,3;2,52;5,3125;3,9;6,5;2,5
Aluno-903;2023;Escola Pública;0;E;8;Feminino;Topázio;8,5242;10;9,6;5,02;7,5;7,8;9,01;10
Aluno-851;2023;Escola Pública;0;E;9;Masculino;Ágata;6,1683;8,4;7,5;2,52;5,625;6,6;6,01;5
Aluno-847;2023;Escola Pública;0;E;10;Masculino;Ágata;6,5418;7,9;9,1;2,52;5;7,6;5,84;5
Aluno-904;2023;Escola Pública;0;F;7;Feminino;Topázio;8,140783333;9;9,3;7,52;7,8125;6,4;7,836666667;10
Aluno-858;2023;Escola Pública;0;F;8;Masculino;Ametista;7,248833333;0;8,1;3,77;8,125;9,3;7,946666667;10
Aluno-905;2023;Escola Pública;0;F;9;Masculino;Ametista;7,831033333;9,5;9,4;7,52;6,875;8,3;7,056666667;5
Aluno-702;2023;Escola Pública;0;F;9;Feminino;Topázio;8,239866667;10;10;5,63;7,5;9,3;7,833333333;5
Aluno-725;2023;Escola Pública;0;F;9;Masculino;Topázio;8,117366667;9,5;9;7,52;8,125;8,4;8,113333333;5
Aluno-906;2023;Escola Pública;0;F;8;Masculino;Topázio;8,1922;7,5;9,2;7,52;7,5;8,6;6,95;10
Aluno-907;2023;Escola Privada;0;F;8;Feminino;Topázio;8,962033333;9,5;9,6;7,52;8,125;9,3;8,336666667;10
Aluno-908;2023;Escola Pública;0;F;8;Feminino;Topázio;8,479366667;9;9;7,52;8,125;7,9;8,223333333;10
Aluno-909;2023;Escola Pública;0;F;10;Feminino;Topázio;8,486033333;10;9,9;7,52;8,125;9,2;8,056666667;5
Aluno-708;2023;Escola Pública;0;F;9;Masculino;Ametista;7,5105;0;9,8;7,52;8,125;9,2;8,28;5
Aluno-910;2023;Escola Pública;0;F;8;Masculino;Ametista;7,801;0;8,8;7,52;8,75;8,9;8,17;10
Aluno-671;2023;Escola Pública;0;G;10;Masculino;Ágata;6,5143;7,9;8,3;3,14;5,625;7,8;5,68;5
Aluno-836;2023;Escola Pública;0;G;10;Masculino;Ametista;7,6417;9,5;9,6;6,27;6,875;6,7;8,085;5
Aluno-911;2023;Escola Pública;0;G;11;Masculino;Quartzo;5,59545;9;6,7;2,52;5,3125;3,4;7,01;5
Aluno-860;2023;Escola Pública;0;G;8;Masculino;Topázio;8,2372;7;9,8;6,89;7,5;7,4;8,34;10
Aluno-727;2023;Escola Pública;0;G;9;Masculino;Ametista;7,6802;9,5;8,8;2,52;7,5;8;9,34;5
Aluno-739;2023;Escola Pública;0;G;9;Masculino;Ametista;7,5972;9;8,3;7,52;6,25;7,6;8,25;5
Aluno-740;2023;Escola Privada;0;G;10;Feminino;Ametista;7,2845;0;8,7;7,52;6,875;9,1;8,925;5
Aluno-912;2023;Escola Pública;0;G;9;Feminino;Ametista;7,0797;7;9,4;7,52;5,625;6,3;7,175;5
Aluno-706;2023;Escola Pública;0;G;10;Feminino;Ametista;7,1527;9;7,8;4,39;6,875;7,3;8,08;5
Aluno-840;2023;Escola Pública;0;G;9;Masculino;Ametista;7,7862;9,5;9;4,38;7,5;8,2;8,59;5
Aluno-841;2023;Escola Pública;0;G;11;Masculino;Ágata;6,78;0;7,2;7,52;7,5;6,9;9,84;5
Aluno-709;2023;Escola Pública;0;G;11;Feminino;Ágata;6,6927;10;7,9;7,52;5,625;4,9;6,59;5
Aluno-913;2023;Escola Pública;0;H;10;Feminino;Ametista;7,7432;8;8,5;6,89;6,25;7,9;9,245;5
Aluno-726;2023;Escola Pública;0;H;8;Feminino;Ametista;7,3687;10;6,1;7,52;5,625;6;8,17;10
Aluno-914;2023;Escola Pública;0;H;8;Feminino;Topázio;8,6912;10;9,2;7,52;6,25;8,7;8,67;10
Aluno-915;2023;Escola Pública;0;H;8;Feminino;Topázio;8,5962;10;8,4;7,52;7,5;8,4;8,67;10
Aluno-916;2023;Escola Pública;0;H;9;Feminino;Ametista;7,3882;9,5;9,7;2,52;6,25;6,6;9,005;5
Aluno-917;2023;Escola Pública;0;H;7;Feminino;Quartzo;5,987;0;7,2;2,52;6,25;7;6,35;10
Aluno-918;2023;Escola Pública;0;H;7;Feminino;Ametista;7,4967;10;8,7;2,52;5,625;7,7;7,01;10
Aluno-919;2023;Escola Pública;0;H;9;Masculino;Ágata;6,225;0;8,4;7,52;6,25;5,3;8,09;5
Aluno-920;2023;Escola Pública;0;H;8;Feminino;Ágata;6,9647;9;6,3;7,52;5,625;6,1;6,35;10
Aluno-921;2023;Escola Pública;0;I;7;Feminino;Ametista;7,7407;9;9,7;7,52;5,625;6,3;6,68;10
Aluno-922;2023;Escola Pública;0;I;8;Feminino;Topázio;8,5262;8,5;9,7;3,14;7,5;8,4;10,01;10
